V4 Class,V4 Parent Class,V4 Attribute,V5 Class,V5 Parent Class ,V5 Attribute,Domain
Upper Vertical Curve,Vertical Curve,*,No Mapping,,*,
User Bag,Generic Bag      Object,*,No Mapping,,*,
User Defined Graphic,Generic Graphic  Object,*,No Mapping,,*,
User Defined Zone,Zone,*,No Mapping,,*,
User Defined Zone,Zone,Zone Description,No Mapping,,,
User Defined Zone,Zone,Zone Name,No Mapping,,,
User Part,Physical Part,*,No Mapping,,*,
User Reference Limit,Constraint Graphic,*,No Mapping,,*,
User Reference Parametric Constraint,Constraint Graphic,*,No Mapping,,*,
User Space,Generic Space    Object,*,No Mapping,,*,
Utility Nozzle,Nozzle,*,EquipUtility,EquipNozzle,*,EQT
Valve,Piping Part,*,PipingValve,PipingPart,*,PIP
Valve Closed,P&ID Specific Part Graphic,*,No Mapping,,*,
Valve Operator,Piping Part,*,PipingValveOperator,PipingPart,*,PIP
Valve Operator Function,Piping Function Part,*,PipingValveOperFunc_Sample,PipingPartFunc,*,PIP
Valve Position 1,P&ID Specific Part Graphic,*,No Mapping,,*,
Valve Position 2,P&ID Specific Part Graphic,*,No Mapping,,*,
Valve Position 3,P&ID Specific Part Graphic,*,No Mapping,,*,
Valve Position 4,P&ID Specific Part Graphic,*,No Mapping,,*,
V-Brace,Structural Member-Type,*,No Mapping,,*,
Vent Function,Piping Function Part,*,PipingVentFunc_Sample,PipingPartFunc,*,PIP
Vertical Curve,Conveyor Part,*,No Mapping,,,
Vessel,Static Equipment Component,*,EquipVessel,Equipment,*,EQT
Vessel Function,Equipment Function Part,*,EquipVesselFunc_Sample,EquipFunc,*,EQT
Vessel Function,Equipment Function Part,Capacity,No Mapping,,,
Vessel Function,Equipment Function Part,Commodity Type,No Mapping,,,
Vessel Function,Equipment Function Part,Flow Rate,No Mapping,,,
Vessel Function,Equipment Function Part,Pressure,No Mapping,,,
Vessel Function,Equipment Function Part,Process Description,No Mapping,,,
Vessel Function,Equipment Function Part,Temperature,No Mapping,,,
Walkways,Static Equipment Component,*,No Mapping,,*,
Wall,Planar Plate,*,No Mapping,,*,
Web Beam,Composite Web Type,*,No Mapping,,*,
Web Frame,Composite Web Type,*,No Mapping,,*,
Web Girder,Composite Web Type,*,No Mapping,,*,
Web Type,Hull Steelwork Plate Type,*,No Mapping,,*,
Web Type for Composite Web,Generic Group    Object,*,No Mapping,,*,
Welded Connection,Fluidic Connection,*,No Mapping,,*,
Welded Connection,Fluidic Connection,Branch Table Name,No Mapping,,,
Welded Connection,Fluidic Connection,Fabrication Site Designation,No Mapping,,,
Welded Connection,Fluidic Connection,Reinforcing Pad Type,No Mapping,,,
Welded Connection,Fluidic Connection,Weld Gap,No Mapping,,,
Welded Connection,Fluidic Connection,Weld Type,No Mapping,,,
Welded Edge,Limit,*,No Mapping,,*,
Workset object,Generic Bag      Object,*,No Mapping,,*,
Wye,Branches,*,PipingWye,PipingBranch,*,PIP
Wye,Branches,Center to Branch##1,No Mapping,,,
Wye,Branches,Center to Branch##2,No Mapping,,,
Wye,Branches,Center to Branch##3,No Mapping,,,
Wye,Branches,Center to Branch##4,No Mapping,,,
Wye,Branches,Center to Face##1,No Mapping,,,
Wye,Branches,Center to Face##2,No Mapping,,,
Wye,Branches,Center to Face##3,No Mapping,,,
Wye,Branches,Center to Face##4,No Mapping,,,
Wye,Branches,End Diameter##1,No Mapping,,,
Wye,Branches,End Diameter##2,No Mapping,,,
Wye,Branches,End Diameter##3,No Mapping,,,
Wye,Branches,End Diameter##4,No Mapping,,,
Wye,Branches,End Offset##1,No Mapping,,,
Wye,Branches,End Offset##2,No Mapping,,,
Wye,Branches,End Offset##3,No Mapping,,,
Wye,Branches,End Offset##4,No Mapping,,,
Wye,Branches,End Thickness##1,No Mapping,,,
Wye,Branches,End Thickness##2,No Mapping,,,
Wye,Branches,End Thickness##3,No Mapping,,,
Wye,Branches,End Thickness##4,No Mapping,,,
Wye,Branches,Nominal Size##1,PipingPart,Physical_Product,NominalSize,PIP
Wye,Branches,Nominal Size##2,PipingPart,Physical_Product,NominalSize2,PIP
Wye,Branches,Nominal Size##3,PipingPart,Physical_Product,NominalSize3,PIP
Wye,Branches,Nominal Size##4,PipingPart,Physical_Product,NominalSize4,PIP
Wye,Branches,OD1##1,PipingPart,Physical_Product,OutsideDiameter,PIP
Wye,Branches,OD1##2,PipingPart,Physical_Product,OutsideDiameter2,PIP
Wye,Branches,OD1##3,PipingPart,Physical_Product,OutsideDiameter3,PIP
Wye,Branches,OD1##4,PipingPart,Physical_Product,OutsideDiameter4,PIP
Yoke,Conveyor Part,*,No Mapping,,*,
Yoke Connector,Conveyor Connector,*,No Mapping,,*,
Zone,Bounded Group,*,No Mapping,,*,

















,,,,,,
,,,,,,
,,,,,,
,,,,,,
